n,B,trial,greedy_score,beam_score
5,1,0,2.57457910576341,2.57457910576341
5,2,0,2.57457910576341,3.41347189254418
5,3,0,2.57457910576341,3.41347189254418
5,4,0,2.57457910576341,3.41347189254418
5,5,0,2.57457910576341,3.75307165916892
5,6,0,2.57457910576341,3.76727725723903
5,7,0,2.57457910576341,3.76727725723903
5,8,0,2.57457910576341,3.76727725723903
5,9,0,2.57457910576341,3.76727725723903
5,10,0,2.57457910576341,3.76727725723903
5,11,0,2.57457910576341,3.76727725723903
5,12,0,2.57457910576341,3.76727725723903
5,13,0,2.57457910576341,3.76727725723903
5,14,0,2.57457910576341,3.76727725723903
5,15,0,2.57457910576341,3.76727725723903
5,16,0,2.57457910576341,3.76727725723903
5,17,0,2.57457910576341,3.76727725723903
5,18,0,2.57457910576341,3.76727725723903
5,19,0,2.57457910576341,3.76727725723903
5,20,0,2.57457910576341,3.76727725723903
5,1,1,2.93387819831859,2.93387819831859
5,2,1,2.93387819831859,2.95253917967652
5,3,1,2.93387819831859,2.95253917967652
5,4,1,2.93387819831859,2.95253917967652
5,5,1,2.93387819831859,2.98814223261568
5,6,1,2.93387819831859,2.98814223261568
5,7,1,2.93387819831859,2.98814223261568
5,8,1,2.93387819831859,2.98814223261568
5,9,1,2.93387819831859,2.98814223261568
5,10,1,2.93387819831859,2.98814223261568
5,11,1,2.93387819831859,3.4846423471468
5,12,1,2.93387819831859,3.4846423471468
5,13,1,2.93387819831859,3.4846423471468
5,14,1,2.93387819831859,3.4846423471468
5,15,1,2.93387819831859,3.4846423471468
5,16,1,2.93387819831859,3.4846423471468
5,17,1,2.93387819831859,3.4846423471468
5,18,1,2.93387819831859,3.4846423471468
5,19,1,2.93387819831859,3.4846423471468
5,20,1,2.93387819831859,3.4846423471468
5,1,2,3.95474039435386,3.95474039435386
5,2,2,3.95474039435386,3.95474039435386
5,3,2,3.95474039435386,3.95474039435386
5,4,2,3.95474039435386,3.95474039435386
5,5,2,3.95474039435386,3.95474039435386
5,6,2,3.95474039435386,3.95859013984839
5,7,2,3.95474039435386,3.95859013984839
5,8,2,3.95474039435386,3.95859013984839
5,9,2,3.95474039435386,3.95859013984839
5,10,2,3.95474039435386,3.95859013984839
5,11,2,3.95474039435386,3.95859013984839
5,12,2,3.95474039435386,3.95859013984839
5,13,2,3.95474039435386,3.95859013984839
5,14,2,3.95474039435386,3.95859013984839
5,15,2,3.95474039435386,3.95859013984839
5,16,2,3.95474039435386,3.95859013984839
5,17,2,3.95474039435386,3.95859013984839
5,18,2,3.95474039435386,3.95859013984839
5,19,2,3.95474039435386,3.95859013984839
5,20,2,3.95474039435386,3.95859013984839
5,1,3,3.46521010861968,3.46521010861968
5,2,3,3.46521010861968,3.46521010861968
5,3,3,3.46521010861968,3.46521010861968
5,4,3,3.46521010861968,3.46521010861968
5,5,3,3.46521010861968,3.46521010861968
5,6,3,3.46521010861968,3.46521010861968
5,7,3,3.46521010861968,3.46521010861968
5,8,3,3.46521010861968,3.46521010861968
5,9,3,3.46521010861968,3.46521010861968
5,10,3,3.46521010861968,3.46521010861968
5,11,3,3.46521010861968,3.46521010861968
5,12,3,3.46521010861968,3.46521010861968
5,13,3,3.46521010861968,3.46521010861968
5,14,3,3.46521010861968,3.46521010861968
5,15,3,3.46521010861968,3.46521010861968
5,16,3,3.46521010861968,3.46521010861968
5,17,3,3.46521010861968,3.46521010861968
5,18,3,3.46521010861968,3.46521010861968
5,19,3,3.46521010861968,3.46521010861968
5,20,3,3.46521010861968,3.46521010861968
5,1,4,2.60503144205122,2.60503144205122
5,2,4,2.60503144205122,2.60503144205122
5,3,4,2.60503144205122,2.60503144205122
5,4,4,2.60503144205122,2.60503144205122
5,5,4,2.60503144205122,2.60503144205122
5,6,4,2.60503144205122,2.60503144205122
5,7,4,2.60503144205122,3.20376476206056
5,8,4,2.60503144205122,3.20376476206056
5,9,4,2.60503144205122,3.20376476206056
5,10,4,2.60503144205122,3.20376476206056
5,11,4,2.60503144205122,3.20376476206056
5,12,4,2.60503144205122,3.20376476206056
5,13,4,2.60503144205122,3.20376476206056
5,14,4,2.60503144205122,3.20376476206056
5,15,4,2.60503144205122,3.20376476206056
5,16,4,2.60503144205122,3.20376476206056
5,17,4,2.60503144205122,3.20376476206056
5,18,4,2.60503144205122,3.20376476206056
5,19,4,2.60503144205122,3.20376476206056
5,20,4,2.60503144205122,3.20376476206056
5,1,5,3.19006261666878,3.19006261666878
5,2,5,3.19006261666878,3.65002276831143
5,3,5,3.19006261666878,3.6576425694652
5,4,5,3.19006261666878,3.6576425694652
5,5,5,3.19006261666878,3.6576425694652
5,6,5,3.19006261666878,3.6576425694652
5,7,5,3.19006261666878,3.6576425694652
5,8,5,3.19006261666878,4.11189059671335
5,9,5,3.19006261666878,4.11189059671335
5,10,5,3.19006261666878,4.11189059671335
5,11,5,3.19006261666878,4.11189059671335
5,12,5,3.19006261666878,4.11189059671335
5,13,5,3.19006261666878,4.11189059671335
5,14,5,3.19006261666878,4.11189059671335
5,15,5,3.19006261666878,4.11189059671335
5,16,5,3.19006261666878,4.11189059671335
5,17,5,3.19006261666878,4.11189059671335
5,18,5,3.19006261666878,4.11189059671335
5,19,5,3.19006261666878,4.11189059671335
5,20,5,3.19006261666878,4.11189059671335
5,1,6,2.41074938266244,2.41074938266244
5,2,6,2.41074938266244,3.46521147388606
5,3,6,2.41074938266244,3.46521147388606
5,4,6,2.41074938266244,3.46521147388606
5,5,6,2.41074938266244,3.46521147388606
5,6,6,2.41074938266244,3.46521147388606
5,7,6,2.41074938266244,3.46521147388606
5,8,6,2.41074938266244,3.46521147388606
5,9,6,2.41074938266244,3.46521147388606
5,10,6,2.41074938266244,3.46521147388606
5,11,6,2.41074938266244,3.46521147388606
5,12,6,2.41074938266244,3.46521147388606
5,13,6,2.41074938266244,3.46521147388606
5,14,6,2.41074938266244,3.46521147388606
5,15,6,2.41074938266244,3.46521147388606
5,16,6,2.41074938266244,3.46521147388606
5,17,6,2.41074938266244,3.46521147388606
