n,B,trial,greedy_score,beam_score
5,1,0,7.80802,7.80802
5,2,0,7.80802,7.80802
5,3,0,7.80802,7.80802
5,4,0,7.80802,7.80802
5,5,0,7.80802,7.80802
5,6,0,7.80802,7.80802
5,7,0,7.80802,7.80802
5,8,0,7.80802,7.80802
5,9,0,7.80802,7.80802
5,10,0,7.80802,7.80802
5,1,1,6.80605,6.80605
5,2,1,6.80605,6.80605
5,3,1,6.80605,6.80605
5,4,1,6.80605,6.80605
5,5,1,6.80605,6.80605
5,6,1,6.80605,6.80605
5,7,1,6.80605,6.80605
5,8,1,6.80605,6.80605
5,9,1,6.80605,6.80605
5,10,1,6.80605,6.80605
5,1,2,9.17961,9.17961
5,2,2,9.17961,9.17961
5,3,2,9.17961,9.17961
5,4,2,9.17961,9.17961
5,5,2,9.17961,9.17961
5,6,2,9.17961,9.17961
5,7,2,9.17961,9.17961
5,8,2,9.17961,9.17961
5,9,2,9.17961,9.17961
5,10,2,9.17961,9.17961
5,1,3,8.11701,8.11701
5,2,3,8.11701,8.11701
5,3,3,8.11701,8.11701
5,4,3,8.11701,8.11701
5,5,3,8.11701,8.11701
5,6,3,8.11701,8.11701
5,7,3,8.11701,8.11701
5,8,3,8.11701,8.11701
5,9,3,8.11701,8.11701
5,10,3,8.11701,8.11701
5,1,4,7.63363,7.63363
5,2,4,7.63363,7.63363
5,3,4,7.63363,7.63363
5,4,4,7.63363,7.63363
5,5,4,7.63363,7.63363
5,6,4,7.63363,7.63363
5,7,4,7.63363,7.63363
5,8,4,7.63363,7.63363
5,9,4,7.63363,7.63363
5,10,4,7.63363,7.63363
5,1,5,8.62307,8.62307
5,2,5,8.62307,8.62307
5,3,5,8.62307,8.62307
5,4,5,8.62307,8.62307
5,5,5,8.62307,8.62307
5,6,5,8.62307,8.62307
5,7,5,8.62307,8.62307
5,8,5,8.62307,8.62307
5,9,5,8.62307,8.62307
5,10,5,8.62307,8.62307
5,1,6,7.70224,7.70224
5,2,6,7.70224,7.70224
5,3,6,7.70224,7.70224
5,4,6,7.70224,7.70224
5,5,6,7.70224,7.70224
5,6,6,7.70224,7.70224
5,7,6,7.70224,7.70224
5,8,6,7.70224,7.70224
5,9,6,7.70224,7.70224
5,10,6,7.70224,7.70224
5,1,7,7.45445,7.45445
5,2,7,7.45445,7.45445
5,3,7,7.45445,7.45445
5,4,7,7.45445,7.45445
5,5,7,7.45445,7.45445
