n,B,trial,greedy_score,beam_score
5,1,0,0.749949,0.749949
5,2,0,0.749949,1.4526
5,3,0,0.749949,1.4526
5,4,0,0.749949,1.4526
5,5,0,0.749949,1.4526
5,6,0,0.749949,1.4526
5,7,0,0.749949,1.4526
5,8,0,0.749949,1.4526
5,9,0,0.749949,1.4526
5,10,0,0.749949,1.4526
5,1,1,1.10333,1.10333
5,2,1,1.10333,1.39099
5,3,1,1.10333,1.39099
5,4,1,1.10333,1.14419
5,5,1,1.10333,1.14419
5,6,1,1.10333,1.39099
5,7,1,1.10333,1.39099
5,8,1,1.10333,1.39099
5,9,1,1.10333,1.39099
5,10,1,1.10333,1.39099
5,1,2,1.49981,1.49981
5,2,2,1.49981,1.47812
5,3,2,1.49981,1.50497
5,4,2,1.49981,1.50497
5,5,2,1.49981,1.50497
5,6,2,1.49981,1.50497
5,7,2,1.49981,1.50497
5,8,2,1.49981,1.50497
5,9,2,1.49981,1.50497
5,10,2,1.49981,1.50497
5,1,3,1.22691,1.22691
5,2,3,1.22691,1.44287
5,3,3,1.22691,1.47601
5,4,3,1.22691,1.47601
5,5,3,1.22691,1.47601
5,6,3,1.22691,1.47601
5,7,3,1.22691,1.53818
5,8,3,1.22691,1.53818
5,9,3,1.22691,1.53818
5,10,3,1.22691,1.53818
5,1,4,0.880846,0.880846
5,2,4,0.880846,1.17135
5,3,4,0.880846,1.21194
5,4,4,0.880846,1.21194
5,5,4,0.880846,1.21194
5,6,4,0.880846,1.21194
5,7,4,0.880846,1.22708
5,8,4,0.880846,1.22708
5,9,4,0.880846,1.22708
5,10,4,0.880846,1.22708
5,1,5,1.12333,1.12333
5,2,5,1.12333,1.63092
5,3,5,1.12333,1.63092
5,4,5,1.12333,1.63092
5,5,5,1.12333,1.63092
5,6,5,1.12333,1.63092
5,7,5,1.12333,1.63092
5,8,5,1.12333,1.63092
5,9,5,1.12333,1.63092
5,10,5,1.12333,1.63092
5,1,6,0.768793,0.768793
5,2,6,0.768793,1.32826
5,3,6,0.768793,1.32826
5,4,6,0.768793,1.32826
